attraction,rank
アクアトピア,
インディ・ジョーンズ・アドベンチャー,7
キャラバンカルーセル,
シンドバッド・ストーリーブック・ヴォヤッジ,
ジャンピン・ジェリーフィッシュ,
スカットルのスクーター,
スチーマーライン(ハーバー),12
スチーマーライン(フロント),9
スチーマーライン(ロスト),13
センター・オブ・ジ・アース,6
ソアリン,1
タワー・オブ・テラー,3
タートル・トーク,
トイ・ストーリー・マニア,2
ニモ＆フレンズ・シーライダ,4
ビッグシティ・ヴィークル,
フランダーのフライングフィッシュコースター,
ブローフィッシュ・バルーンレース,
マジックランプシアター,
レイジングスピリッツ,5
レールウェイ(フロント),10
レールウェイ(ポート),11
ワールプール,
ヴェネツィアン・ゴンドラ,
海底２万マイル,8
0_スタート地点,0
